team,team_full_name,arena_name,arena_lat,arena_lon
ANA,Anaheim Ducks,Honda Center,33.8078,-117.8765
BOS,Boston Bruins,TD Garden,42.3662,-71.0621
BUF,Buffalo Sabres,KeyBank Center,42.875,-78.8764
CAR,Carolina Hurricanes,Lenovo Center,35.8033,-78.722
CBJ,Columbus Blue Jackets,Nationwide Arena,39.9693,-83.0061
CGY,Calgary Flames,Scotiabank Saddledome,51.0374,-114.0519
CHI,Chicago Blackhawks,United Center,41.8806,-87.6742
COL,Colorado Avalanche,Ball Arena,39.7486,-105.0077
DAL,Dallas Stars,American Airlines Center,32.7905,-96.8103
DET,Detroit Red Wings,Little Caesars Arena,42.3411,-83.0548
EDM,Edmonton Oilers,Rogers Place,53.5469,-113.4979
FLA,Florida Panthers,Amerant Bank Arena,26.1584,-80.3256
LAK,Los Angeles Kings,Crypto.com Arena,34.043,-118.2673
MIN,Minnesota Wild,Grand Casino Arena,44.9448,-93.1013
MTL,Montréal Canadiens,Bell Centre,45.4961,-73.5694
NJD,New Jersey Devils,Prudential Center,40.7336,-74.1711
NSH,Nashville Predators,Bridgestone Arena,36.1592,-86.7785
NYI,New York Islanders,UBS Arena,40.7226,-73.7236
NYR,New York Rangers,Madison Square Garden,40.7505,-73.9934
OTT,Ottawa Senators,Canadian Tire Centre,45.2969,-75.9271
PHI,Philadelphia Flyers,Xfinity Mobile Arena,39.9012,-75.172
PIT,Pittsburgh Penguins,PPG Paints Arena,40.4395,-79.9892
SEA,Seattle Kraken,Climate Pledge Arena,47.6221,-122.3544
SJS,San Jose Sharks,SAP Center,37.3329,-121.9011
STL,St. Louis Blues,Enterprise Center,38.6267,-90.2025
TBL,Tampa Bay Lightning,Benchmark International Arena,27.9428,-82.4519
TOR,Toronto Maple Leafs,Scotiabank Arena,43.6435,-79.3791
UTA,Utah Mammoth,Delta Center,40.7683,-111.9011
VAN,Vancouver Canucks,Rogers Arena,49.2778,-123.1089
VGK,Vegas Golden Knights,T-Mobile Arena,36.103,-115.1787
WPG,Winnipeg Jets,Canada Life Centre,49.8928,-97.1436
WSH,Washington Capitals,Capital One Arena,38.8981,-77.0209
